2021-02-27T10:07:08.236Z [AUDIT] Token created by 'jfrt@01ezhf0qhrd9pf0xtn2y4916ky': tokenId='ace5a22b-ecb8-48cb-b6bf-2baeccae13ba', issuer='jfrt@01ezhf0qhrd9pf0xtn2y4916ky', subject='jfrt@01ezhf0qhrd9pf0xtn2y4916ky', expiry=2560500428233, refreshable=false
2021-02-27T10:07:13.639Z [AUDIT] Token created by 'anonymous': tokenId='68481db9-7c32-4f2a-b509-81cb918cf368', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-02-27T10:07:13.733Z [AUDIT] Token created by 'jffe@000': tokenId='11aef871-aff5-4a04-82d2-6e6d5b4321f5', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614421033733, refreshable=false
2021-02-27T10:07:51.274Z [AUDIT] Token created by 'jffe@000': tokenId='f693a10a-40ed-46b4-97b1-e349b61e9713', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614421071273, refreshable=false
2021-02-27T10:08:05.449Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='5f6ff2ff-5e01-4fa8-9250-03bf2da383e6', tokenId='12c3863f-d557-4427-a7bc-bfd7789ab3a7', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614422285442, refreshable=true
2021-02-27T10:08:14.772Z [AUDIT] Token created by 'jffe@000': tokenId='8ab87844-7e5a-4309-9d5d-6aa78f8a6a9c', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614421094771, refreshable=false
2021-02-27T10:08:18.776Z [AUDIT] Token created by 'jffe@000': tokenId='49d7e8eb-2c17-43e3-ae60-c66a90a7b92d', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614421098775, refreshable=false
2021-02-27T10:20:15.163Z [AUDIT] Token created by 'anonymous': tokenId='759b07a4-e44e-49ee-aeb8-e18607924430', issuer='jfrou@01ezhf0fgffen3w0gvzw6ea86h', subject='jfrou@01ezhf0fgffen3w0gvzw6ea86h', expiry=none, refreshable=false
2021-02-27T10:20:15.258Z [AUDIT] Token revoked by 'anonymous': tokenId='4d84a500-7ad1-402f-becb-ad52fbf07477', issuer='jfrou@01ezhf0fgffen3w0gvzw6ea86h', subject='jfrou@01ezhf0fgffen3w0gvzw6ea86h', expiry=none, refreshable=false
2021-02-27T10:20:19.882Z [AUDIT] Token created by 'anonymous': tokenId='03011194-19aa-4552-9809-99feb1f82a23', issuer='jfac@01ezhf08by9nt90v6x5kgk1ceq', subject='jfac@01ezhf08by9nt90v6x5kgk1ceq', expiry=1614421339877, refreshable=false
2021-02-27T10:20:20.020Z [AUDIT] Token created by 'anonymous': tokenId='7c30cad9-efb2-4da8-8ebe-a5d1d02a4c75', issuer='jfac@01ezhf08by9nt90v6x5kgk1ceq', subject='jfac@01ezhf08by9nt90v6x5kgk1ceq', expiry=1614421340014, refreshable=false
2021-02-27T10:20:20.246Z [AUDIT] Token created by 'anonymous': tokenId='0a03ae64-c8aa-45a7-ba2f-dafc6de7b9e6', issuer='jfac@01ezhf08by9nt90v6x5kgk1ceq', subject='jfac@01ezhf08by9nt90v6x5kgk1ceq', expiry=1614421340242, refreshable=false
2021-02-27T10:20:20.673Z [AUDIT] Token created by 'anonymous': tokenId='5308605d-5bed-4130-be8c-6a4b9033a77b', issuer='jfac@01ezhf08by9nt90v6x5kgk1ceq', subject='jfac@01ezhf08by9nt90v6x5kgk1ceq', expiry=1614421340668, refreshable=false
2021-02-27T10:20:21.288Z [AUDIT] Token created by 'anonymous': tokenId='8ab441cf-7f18-4df7-950e-9946c3624061', issuer='jfmd@01ezhf0hn4nmyaesy0p5rb4gq2', subject='jfmd@01ezhf0hn4nmyaesy0p5rb4gq2', expiry=none, refreshable=false
2021-02-27T10:20:21.311Z [AUDIT] Token revoked by 'anonymous': tokenId='fe9bc54a-70be-4353-9e48-39e5c897a689', issuer='jfmd@01ezhf0hn4nmyaesy0p5rb4gq2', subject='jfmd@01ezhf0hn4nmyaesy0p5rb4gq2', expiry=none, refreshable=false
2021-02-27T10:20:21.820Z [AUDIT] Token created by 'anonymous': tokenId='f791b128-ebd1-4143-a6bd-93ecb848f20d', issuer='jfrt@01ezhf0qhrd9pf0xtn2y4916ky', subject='jfrt@01ezhf0qhrd9pf0xtn2y4916ky', expiry=none, refreshable=false
2021-02-27T10:20:21.830Z [AUDIT] Token revoked by 'anonymous': tokenId='641ced77-b4d2-4d34-9954-fb6101838488', issuer='jfrt@01ezhf0qhrd9pf0xtn2y4916ky', subject='jfrt@01ezhf0qhrd9pf0xtn2y4916ky', expiry=none, refreshable=false
2021-02-27T10:20:24.788Z [AUDIT] Token created by 'jfrt@01ezhf0qhrd9pf0xtn2y4916ky': tokenId='6eabdfdf-07fe-497a-bb1a-c17b4abd9cec', issuer='jfrt@01ezhf0qhrd9pf0xtn2y4916ky', subject='jfrt@01ezhf0qhrd9pf0xtn2y4916ky', expiry=2560501224785, refreshable=false
2021-02-27T10:20:31.111Z [AUDIT] Token created by 'anonymous': tokenId='b26c1b34-de70-4d9c-b7ed-89d55e12b82f', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-02-27T10:20:31.127Z [AUDIT] Token revoked by 'anonymous': tokenId='68481db9-7c32-4f2a-b509-81cb918cf368', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-02-27T10:20:31.381Z [AUDIT] Token created by 'jffe@000': tokenId='4342f963-738f-4373-8109-d05cd8d8542e', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614421831381, refreshable=false
2021-02-27T10:21:38.991Z [AUDIT] Token created by 'jffe@000': tokenId='09fed8ad-8f14-4562-a63f-6708c6b05937', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614421898991, refreshable=false
2021-02-27T10:21:39.142Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='12c3863f-d557-4427-a7bc-bfd7789ab3a7', tokenId='8a74bedc-29c2-4b7d-8d2a-17a6a2211697', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614423099136, refreshable=true
2021-02-27T10:21:39.163Z [AUDIT] Token created by 'jffe@000': tokenId='ecec633f-7ae6-4fa4-a0cf-f5a9938ae8e2', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614421899162, refreshable=false
2021-02-27T10:21:39.163Z [AUDIT] Token created by 'jffe@000': tokenId='5929b1cf-9ffb-4399-be9c-793794cbad9c', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614421899163, refreshable=false
2021-02-27T10:21:39.915Z [AUDIT] Token created by 'jffe@000': tokenId='2b49d384-2ac1-4690-a931-cb3ced4ff8b3', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614421899915, refreshable=false
